Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location,Geometry Point
34500,Square Picnic Table,Wood,Aggregate,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.52973241943662,-113.55438728932153,"(53.52973241943662, -113.55438728932153)",POINT (-113.55438728932153 53.52973241943662)
89999,Square Picnic Table,Metal,Metal,SAVARYN DRIVE SW,6213,SUMMERSIDE,Ward Karhiio,53.41373576285341,-113.46260868522353,"(53.41373576285341, -113.46260868522353)",POINT (-113.46260868522353 53.41373576285341)
20167,Square Picnic Table,Wood,Wood,88 STREET NW,6492,MILL CREEK RAVINE SOUTH,Ward papastew,53.50524597791275,-113.46338995238524,"(53.50524597791275, -113.46338995238524)",POINT (-113.46338995238524 53.50524597791275)
5587,Square Picnic Table,Composite,Wood,59A STREET NW,2500,MATT BERRY,Ward Dene,53.621966627264754,-113.43118096352691,"(53.621966627264754, -113.43118096352691)",POINT (-113.43118096352691 53.621966627264754)
34500,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.530115081029386,-113.55396286864735,"(53.530115081029386, -113.55396286864735)",POINT (-113.55396286864735 53.530115081029386)
23769,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.509837394196076,-113.5531607501606,"(53.509837394196076, -113.5531607501606)",POINT (-113.5531607501606 53.509837394196076)
14715,Square Picnic Table,Wood,Aggregate,83 AVENUE NW,3270,LAURIER HEIGHTS,Ward sipiwiyiniwak,53.51651407734756,-113.56975545757624,"(53.51651407734756, -113.56975545757624)",POINT (-113.56975545757624 53.51651407734756)
5765,Square Picnic Table,Wood,Aggregate,135 AVENUE NW,2290,GLENGARRY,Ward tastawiyiniwak,53.59523526256802,-113.47275772855751,"(53.59523526256802, -113.47275772855751)",POINT (-113.47275772855751 53.59523526256802)
6128,Square Picnic Table,Wood,Aggregate,KNOTTWOOD ROAD SOUTH NW,6450,MENISA,Ward Karhiio,53.44241385739802,-113.44761944773664,"(53.44241385739802, -113.44761944773664)",POINT (-113.44761944773664 53.44241385739802)
9449,Square Picnic Table,Wood,Aggregate,116 AVENUE NW,3240,INGLEWOOD,Ward Anirniq,53.566270072770365,-113.53886583585314,"(53.566270072770365, -113.53886583585314)",POINT (-113.53886583585314 53.566270072770365)
